,title,rating,price,avalibility,category
511,Shakespeare's Sonnets,4,20.66,In stock,Poetry
512,Set Me Free,5,17.46,In stock,Young Adult
513,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
514,Rip it Up and ...,5,35.02,In stock,Music
515,Our Band Could Be ...,3,57.25,In stock,Music
516,Olio,1,23.88,In stock,Poetry
517,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
518,Libertarianism for Beginners,2,51.33,In stock,Politics
519,It's Only the Himalayas,2,45.17,In stock,Travel
520,A Light in the ...,3,51.77,In stock,Poetry
521,Tipping the Velvet,1,53.74,In stock,Historical Fiction
522,Soumission,1,50.1,In stock,Fiction
523,Sharp Objects,4,47.82,In stock,Mystery
524,Sapiens: A Brief History ...,5,54.23,In stock,History
525,The Requiem Red,1,22.65,In stock,Young Adult
526,The Dirty Little Secrets ...,4,33.34,In stock,Business
527,The Coming Woman: A ...,3,17.93,In stock,Default
528,The Boys in the ...,4,22.6,In stock,Default
529,The Black Maria,1,52.15,In stock,Poetry
530,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
531,Shakespeare's Sonnets,4,20.66,In stock,Poetry
532,Set Me Free,5,17.46,In stock,Young Adult
533,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
534,Rip it Up and ...,5,35.02,In stock,Music
535,Our Band Could Be ...,3,57.25,In stock,Music
536,Olio,1,23.88,In stock,Poetry
537,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
538,Libertarianism for Beginners,2,51.33,In stock,Politics
539,It's Only the Himalayas,2,45.17,In stock,Travel
540,A Light in the ...,3,51.77,In stock,Poetry
541,Tipping the Velvet,1,53.74,In stock,Historical Fiction
542,Soumission,1,50.1,In stock,Fiction
543,Sharp Objects,4,47.82,In stock,Mystery
544,Sapiens: A Brief History ...,5,54.23,In stock,History
545,The Requiem Red,1,22.65,In stock,Young Adult
546,The Dirty Little Secrets ...,4,33.34,In stock,Business
547,The Coming Woman: A ...,3,17.93,In stock,Default
548,The Boys in the ...,4,22.6,In stock,Default
549,The Black Maria,1,52.15,In stock,Poetry
550,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
551,Shakespeare's Sonnets,4,20.66,In stock,Poetry
552,Set Me Free,5,17.46,In stock,Young Adult
553,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
554,Rip it Up and ...,5,35.02,In stock,Music
555,Our Band Could Be ...,3,57.25,In stock,Music
556,Olio,1,23.88,In stock,Poetry
557,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
558,Libertarianism for Beginners,2,51.33,In stock,Politics
559,It's Only the Himalayas,2,45.17,In stock,Travel
560,A Light in the ...,3,51.77,In stock,Poetry
561,Tipping the Velvet,1,53.74,In stock,Historical Fiction
562,Soumission,1,50.1,In stock,Fiction
563,Sharp Objects,4,47.82,In stock,Mystery
564,Sapiens: A Brief History ...,5,54.23,In stock,History
565,The Requiem Red,1,22.65,In stock,Young Adult
566,The Dirty Little Secrets ...,4,33.34,In stock,Business
567,The Coming Woman: A ...,3,17.93,In stock,Default
568,The Boys in the ...,4,22.6,In stock,Default
569,The Black Maria,1,52.15,In stock,Poetry
570,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
571,Shakespeare's Sonnets,4,20.66,In stock,Poetry
572,Set Me Free,5,17.46,In stock,Young Adult
573,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
574,Rip it Up and ...,5,35.02,In stock,Music
575,Our Band Could Be ...,3,57.25,In stock,Music
576,Olio,1,23.88,In stock,Poetry
577,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
578,Libertarianism for Beginners,2,51.33,In stock,Politics
579,It's Only the Himalayas,2,45.17,In stock,Travel
